Name;Inf;Sta;Dra;Com;Gra;Use;Col
Hannah Abbott ;3;6;6;10;2;1;8
Ludo Bagman ;2;4;9;3;1;7;9
Bathilda Bagshot ;2;3;9;5;3;4;8
Katie Bell ;3;5;3;6;4;4;8
Cuthbert Binns;2;1;7;8;2;5;9
Phineas Nigellus Black;3;3;1;9;1;5;10
Sirius Black;7;2;3;9;5;4;9
Amelia Bones ;2;2;2;3;2;2;5
Susan Bones ;6;4;3;9;9;2;6
Terry Boot;4;1;1;8;7;8;8
Lavender Brown;5;4;7;8;3;7;7
Millicent Bulstrode;1;5;4;4;3;8;9
Charity Burbage;3;2;8;3;1;4;9
Frank Bryce;7;6;5;9;1;5;5
Alecto Carrow;3;4;9;10;2;7;8
Amycus Carrow;2;2;8;8;1;4;8
Reginald Cattermole;4;4;2;8;2;8;9
Mary Cattermole ;5;2;8;9;4;5;9
Cho Chang ;3;3;5;8;3;2;8
Penelope Clearwater ;3;4;7;8;1;9;8
Michael Corner;4;3;2;7;3;5;8
Vincent Crabbe;4;3;3;8;10;1;10
Colin Creevey;5;2;3;7;3;8;9
Fleur Delacour ;3;4;7;9;3;7;8
Amos Diggory;3;2;7;4;1;5;4
Albus Dumbledore;2;1;5;5;1;2;5
Seamus Finnigan;2;4;2;8;1;8;10
Marcus Flint;6;4;3;9;7;2;4
Filius Flitwick ;4;7;5;8;5;8;8
Cornelius Fudge;1;6;1;7;5;3;8
Gellert Grindelwald ;7;7;9;9;5;8;9
Godric Gryffindor ;2;3;6;6;1;7;10
Rubeus Hagrid ;3;3;2;6;1;2;7
Rolanda Hooch ;5;6;8;5;4;9;7
Helga Hufflepuff;2;4;6;4;2;4;6
Hermione Granger;3;3;4;7;1;6;8
Igor Karkaroff ;6;4;5;8;7;7;7
Viktor Krum;3;4;4;6;1;9;7
Silvanus Kettleburn ;7;6;3;8;5;9;10
Bellatrix Lestrange;3;3;7;6;2;7;7
Neville Longbottom;5;3;3;8;3;5;9
Xenophilius Lovegood ;6;5;4;9;2;7;8
Remus Lupin;7;1;3;8;2;7;4
Draco Malfoy;3;3;4;10;2;8;9
Ernie Macmillan;4;5;4;7;4;6;6
Minerva McGonagall;2;1;3;6;1;5;8
Cormac McLaggen;3;5;6;8;1;8;10
Graham Montague;6;4;5;9;7;4;9
Theodore Nott;3;8;3;7;3;3;8
Garrick Ollivander ;3;4;2;7;1;4;7
Pansy Parkinson;2;6;6;9;1;3;9
Peter Pettigrew ;7;4;10;9;3;7;6
Antioch Peverell;1;1;1;4;1;2;5
Irma Pince;2;4;1;7;1;4;8
Sturgis Podmore ;7;3;1;10;1;4;10
Poppy Pomfrey ;2;5;3;3;1;1;4
Harry Potter ;1;3;3;7;1;6;10
James Potter ;1;4;3;8;1;9;5
Lily Potter;2;1;10;9;1;10;10
Quirinus Quirrell;1;1;5;5;1;5;8
Helena Ravenclaw;5;2;5;8;1;7;9
Rowena Ravenclaw;1;1;6;4;1;7;7
Tom Marvolo Riddle;5;5;9;8;4;2;6
Demelza Robins ;3;5;8;9;2;8;8
Augustus Rookwood;2;3;6;7;3;7;8
Thorfinn Rowle ;2;2;6;7;1;5;10
Albert Runcorn;3;6;1;7;1;3;8
Newt Scamander ;3;4;1;3;1;1;3
Rufus Scrimgeour ;2;3;7;8;3;6;9
Kingsley Shacklebolt;4;6;3;5;2;2;7
Stanley Shunpike;1;2;6;5;1;6;10
Aurora Sinistra;9;6;8;10;5;6;2
Rita Skeeter ;1;6;1;10;1;5;8
Horace Slughorn;2;2;5;7;2;6;6
Salazar Slytherin;2;3;10;8;1;10;8
Hepzibah Smith;3;3;3;9;5;8;9
Severus Snape;3;4;3;8;1;4;7
Pomona Sprout;2;4;6;8;3;2;9
Dean Thomas;5;8;8;7;1;5;6
Nymphadora Tonks ;3;2;4;6;4;2;5
Emmeline Vance;2;3;5;3;1;4;7
Ron Weasley;2;4;3;6;2;6;6
Oliver Wood;2;6;2;3;1;6;8
