Country,Mentioned,Not
Argentina,73,929
Australia,230,1191
Brazil,221,1279
Chile,223,777
China,1483,508
Taiwan,894,333
Colombia,979,2046
Georgia,1262,238
Germany,318,1746
India,874,1127
Jordan,1139,61
South Korea,1120,80
Mexico,321,1239
Morocco,799,397
Netherlands,105,945
New Zealand,192,762
Peru,376,1124
Poland,380,620
Romania,662,1114
Russia,1189,844
Slovenia,321,716
South Africa,213,2715
Spain,194,1006
Sweden,50,953
Turkey,1052,294
Ukraine,505,495
United States,191,1051
Uruguay,113,887
