Country,Mentioned,Not
Argentina,365,637
Australia,1056,365
Brazil,750,750
Chile,586,414
China,1438,553
Taiwan,1061,166
Colombia,155,1475
Georgia,125,250
Germany,1365,699
India,969,1032
Jordan,1137,63
South Korea,909,291
Mexico,776,784
Morocco,977,223
Netherlands,784,266
New Zealand,609,345
Peru,763,737
Poland,724,276
Romania,1181,595
Russia,1801,232
Slovenia,658,379
South Africa,2016,972
Spain,460,740
Sweden,538,465
Turkey,1146,200
Ukraine,814,186
United States,875,366
Uruguay,497,503
