Country,Mentioned,Not
Argentina,552,450
Australia,1313,108
Brazil,1021,479
Chile,762,238
China,185,141
Taiwan,1185,42
Colombia,2385,640
Georgia,1439,61
Germany,1291,773
India,1077,924
Jordan,1158,42
South Korea,118,20
Mexico,1207,353
Morocco,1041,159
Netherlands,911,139
New Zealand,773,181
Peru,1205,295
Poland,773,227
Romania,1313,463
Russia,1911,122
Slovenia,706,331
South Africa,2674,314
Spain,771,429
Sweden,775,228
Turkey,1289,57
Ukraine,897,103
United States,1126,116
Uruguay,501,499
