Country,Mentioned,Not
Argentina,164,838
Australia,301,112
Brazil,324,1176
Chile,341,659
China,1386,605
Taiwan,679,548
Colombia,1388,1637
Georgia,138,120
Germany,301,1763
India,807,1194
Jordan,1141,59
South Korea,1042,158
Mexico,465,1095
Netherlands,47,1003
New Zealand,165,789
Peru,629,871
Poland,513,487
Romania,1049,727
Russia,1341,692
Slovenia,364,673
South Africa,1344,1583
Spain,89,1111
Sweden,36,967
Turkey,1184,162
Ukraine,579,421
United States,311,930
Uruguay,162,838
