Country,Mentioned,Not
Argentina,29,1001
Australia,156,1321
Brazil,39,1447
Belarus,513,1022
Chile,76,924
China,281,2019
Taiwan,250,988
Colombia,71,1441
Estonia,575,958
Georgia,394,808
Germany,437,1599
India,1921,2157
Jordan,447,753
South Korea,530,670
Mexico,231,1769
Morocco,129,1071
Netherlands,373,1529
New Zealand,50,791
Nigeria,354,1405
Peru,129,1081
Philippines,170,103
Poland,70,896
Romania,320,1183
Russia,806,1688
Slovenia,145,924
South Africa,1445,2086
Spain,89,11
Sweden,42,1164
Turkey,490,1115
Ukraine,290,121
United States,305,1928
Uruguay,17,983
