Country,Mentioned,Not
Argentina,40,990
Australia,146,1331
Brazil,68,1418
Belarus,271,1264
Chile,54,946
China,151,2149
Taiwan,87,1151
Colombia,114,1398
Estonia,254,1279
Georgia,243,959
Germany,274,1769
India,1333,2745
Jordan,329,871
South Korea,399,801
Mexico,283,1717
Morocco,136,1064
Netherlands,275,1627
New Zealand,46,795
Nigeria,417,1342
Peru,132,1078
Philippines,368,832
Poland,31,935
Romania,251,1252
Russia,473,2021
Slovenia,53,1016
South Africa,533,2998
Spain,37,1152
Sweden,39,1167
Turkey,482,1123
Ukraine,173,1327
United States,288,1944
Uruguay,25,975
