Country,Mentioned,Not
Argentina,23,979
Australia,64,1357
Brazil,66,1434
Chile,85,915
China,251,174
Taiwan,99,1128
Colombia,130,2895
Georgia,364,1136
Germany,149,1915
India,871,113
Jordan,618,582
South Korea,435,765
Mexico,129,1431
Morocco,277,921
Netherlands,81,969
New Zealand,39,915
Peru,90,141
Poland,124,876
Romania,316,146
Russia,339,1694
Slovenia,150,887
South Africa,237,269
Spain,82,1118
Sweden,14,989
Turkey,403,943
Ukraine,118,882
United States,50,1192
Uruguay,39,961
