Country,Mentioned,Not
Argentina,33,997
Australia,58,1419
Brazil,50,1436
Belarus,276,1259
Chile,58,942
China,211,2089
Taiwan,56,1182
Colombia,99,1413
Estonia,318,1215
Georgia,437,765
Germany,288,1758
India,1157,2921
Jordan,345,855
South Korea,373,827
Mexico,311,1689
Morocco,227,973
Netherlands,52,185
New Zealand,12,829
Nigeria,465,1294
Peru,149,1061
Philippines,195,1005
Poland,45,921
Romania,287,1216
Russia,358,2134
Slovenia,91,978
South Africa,566,2965
Spain,37,1152
Sweden,45,1161
Turkey,591,1014
Ukraine,225,1275
United States,75,2157
Uruguay,29,971
