Country,Mentioned,Not
Argentina,5,1025
Australia,26,1451
Brazil,16,147
Belarus,105,143
Chile,39,961
China,392,1908
Taiwan,152,1086
Colombia,62,145
Estonia,207,1326
Georgia,319,883
Germany,190,1854
India,2964,1114
Jordan,719,481
South Korea,607,593
Mexico,211,1789
Morocco,789,411
Netherlands,11,1891
New Zealand,16,825
Nigeria,549,121
Peru,125,1085
Philippines,259,941
Poland,34,932
Romania,268,1235
Russia,194,2302
Slovenia,50,1019
South Africa,539,2992
Spain,15,1174
Sweden,4,1202
Turkey,105,555
Ukraine,126,1374
United States,148,2084
Uruguay,9,991
