Country,1995,2000,2005,2010
Argentina,0.086277081,7.038683086,17.72058337,40
Australia,2.766742391,46.78382556,63.02693628,75.89293106
Belarus,0.002944246,1.870217979,,32.15325477
Brazil,0.105138168,2.870685159,21.02274725,40.65
Chile,0.346980781,16.6,31.17534703,45
China,0.004992261,1.78501572,8.548580494,34.38999549
Colombia,0.18804679,2.207532993,11.00726389,36.5
Estonia,2.786852943,28.60270304,61.43904388,74.15413074
Georgia,0.012675191,0.520673566,6.240889728,26.29252686
Germany,1.843393972,30.26689089,68.76941828,82.52696855
India,0.026228879,0.52753245,2.388075,7.5
Jordan,0.024269643,2.639458529,12.76675995,27.83075482
South Korea,0.811854684,43.72972245,71.82980724,81.6224647
Mexico,0.10256419,5.081384153,17.21,31.05
Morocco,0.003710492,0.693791245,15.08444452,49
Netherlands,6.457731209,43.81121466,80.92847424,90.70686325
New Zealand,4.886447956,47.38363411,62.72350473,83.00638491
Nigeria,,0.064080808,3.549155718,24
Peru,0.033412305,3.076430611,17.1,34.77
Philippines,0.028585702,1.982253196,5.397636329,25
Poland,0.644341626,7.256761026,38.80958816,62.47174876
Romania,0.074941799,3.573255456,21.63652475,40.02009301
Russia,0.148708662,1.983372736,15.30040359,43.31455082
Slovenia,2.864505858,15.08352502,46.84767312,69.35408524
South Africa,0.71622353,5.440990138,7.582837445,18.05095499
Spain,0.381185686,13.63350229,47.87701896,65.8085951
Sweden,5.098030019,45.62608381,84.82786741,90.0149806
Taiwan,0,0,0,0
Turkey,0.081691205,3.761685035,15.46,39.82
Ukraine,0.042757313,0.712046852,3.735338316,23.08545685
United States,9.238674204,43.13014069,68.26789985,74.24740664
Uruguay,0.310128582,10.59722669,20.19031612,46.5686753
