Country,1995,2000,2005,2010
Argentina,2.77,2.48,2.29,2.22
Australia,1.82,1.76,1.79,1.89
Belarus,1.47,1.23,1.32,1.46
Brazil,2.5,2.36,2.07,1.84
Chile,2.39,2.09,1.94,1.86
China,1.68,1.45,1.51,1.54
Colombia,2.87,2.64,2.5,2.38
Estonia,1.43,1.32,1.52,1.63
Georgia,1.88,1.61,1.68,1.82
Germany,1.31,1.35,1.35,1.39
India,3.47,3.15,2.82,2.56
Jordan,4.68,4.05,3.73,3.46
South Korea,1.63,1.35,1.2,1.27
Mexico,2.97,2.66,2.45,2.28
Morocco,3.31,2.7,2.39,2.58
Netherlands,1.53,1.72,1.71,1.8
New Zealand,2.11,1.98,2.05,2.12
Nigeria,6.26,6.1,6.02,6.02
Peru,3.32,2.93,2.69,2.51
Philippines,4.01,3.81,3.49,3.15
Poland,1.68,1.34,1.28,1.37
Romania,1.35,1.27,1.3,1.37
Russia,1.34,1.2,1.29,1.57
Slovenia,1.29,1.21,1.32,1.48
South Africa,3.11,2.87,2.68,2.47
Spain,1.21,1.22,1.35,1.46
Sweden,1.73,1.56,1.79,1.99
Taiwan,1.78,1.68,1.12,0.9
Turkey,2.72,2.45,2.23,2.1
Ukraine,1.41,1.14,1.26,1.44
United States,1.98,2.05,2.06,1.93
Uruguay,2.4,2.24,2.16,2.08
