Country,1995,2000,2005,2010
Argentina,1.550329879,1.65049336,1.73141309,1.846823755
Australia,5.121669931,5.644541377,5.60023506,5.59322124
Belarus,2.427666765,2.467192904,2.749004127,2.922028978
Brazil,0.99548326,1.07437364,1.157274861,1.362548955
Chile,1.272910783,1.632591107,1.739198046,1.806740429
China,0.86830595,0.936674676,1.342446009,1.806757929
Colombia,0.757096422,0.649169833,0.629279225,0.696299054
Estonia,3.504607297,3.442558132,3.836514753,4.154514271
Georgia,0.786953739,0.649382342,0.651318903,0.700294871
Germany,4.119871163,4.09412484,4.101617724,4.003264295
India,0.398434731,0.433831508,0.473031729,0.565638498
Jordan,1.025396901,1.014211777,1.233741292,1.19138763
South Korea,3.210160069,4.002751659,4.366123624,5.0599119
Mexico,1.406742645,1.451820252,1.597933401,1.570343239
Morocco,0.319105932,0.355572156,0.430013971,0.51666593
Netherlands,4.576470376,4.59782834,4.829935573,5.020998479
New Zealand,4.05338542,4.422104103,4.075089141,4.166425203
Nigeria,0.704813352,0.732448689,0.761743054,0.713614413
Peru,0.460448816,0.472574488,0.495152305,0.667131119
Philippines,0.484308701,0.515735623,0.453039915,0.434016306
Poland,2.57731748,2.317483907,2.420428846,2.657011347
Romania,2.053155953,1.613200053,1.786640943,1.632155535
Russia,4.297570241,4.23275414,4.55264846,4.943087775
Slovenia,3.049386594,3.224379501,3.645458526,3.520166378
South Africa,2.647773466,2.483263886,2.716048671,2.737815
Spain,2.559005522,3.029303397,3.269024691,2.772666849
Sweden,5.70217184,5.360145147,5.711127283,5.468217424
Taiwan,0,0,0,0
Turkey,1.045536125,1.199917938,1.238261636,1.445082463
Ukraine,3.180071292,2.720694089,3.03336597,2.844932648
United States,7.763365148,8.056819755,7.846804917,7.164461668
Uruguay,0.797914067,0.936695526,0.894556803,1.24085469
