Country,1995,2000,2005,2010
Argentina,10673,11504,12039,15765
Australia,30359,35253,38840,41330
Belarus,5275,7300,10851,15703
Brazil,11108,11461,12373,14660
Chile,12759,14614,16985,19204
China,2551,3678,5675,9430
Colombia,8643,8414,9286,10777
Estonia,10464,14877,21651,21710
Georgia,2298,3269,4716,5938
Germany,33843,36953,37901,40632
India,2069,2548,3262,4547
Jordan,7516,7695,9293,11256
South Korea,16798,20757,25541,30440
Mexico,12491,14704,14961,15460
Morocco,3870,4430,5363,6466
Netherlands,35244,41771,43243,45843
New Zealand,25476,27963,31798,31824
Nigeria,2740,2836,4130,5114
Peru,6198,6485,7499,9915
Philippines,3973,4243,4804,5614
Poland,11093,14565,16900,21328
Romania,10516,9970,13941,16888
Russia,12013,13173,18118,21664
Slovenia,18240,22488,26677,28377
South Africa,9730,9927,11133,12087
Spain,25645,30647,33396,32994
Sweden,31044,36816,41184,42898
Taiwan,27307,34205,36825,39085
Turkey,11530,13025,15176,16674
Ukraine,5073,4809,7265,7844
United States,39476,45986,49762,49373
Uruguay,11513,12876,12978,17095
