Country,1995,2000,2005,2010
Argentina,34994818,37057453,39145491,41222875
Australia,18124770,19107251,20274282,22162863
Belarus,10159731,9952055,9640616,9492122
Brazil,162755054,175786441,188479240,198614208
Chile,14193986,15170387,16096571,17015048
China,1227841281,1269974572,1305600630,1340968737
Colombia,37441980,40403959,43285636,45918101
Estonia,1433076,1399145,1355662,1332089
Georgia,5067143,4743591,4475273,4250132
Germany,81612900,81895925,81246801,80435307
India,960874982,1053481072,1144326293,1230984504
Jordan,4320158,4767476,5332982,6517912
South Korea,44652994,46206271,47605863,49090041
Mexico,94426946,102808590,109747906,118617542
Morocco,27161889,28950553,30385479,32107739
Netherlands,15450803,15894016,16331646,16631571
New Zealand,3674886,3858234,4134699,4369027
Nigeria,108424822,122876723,139611303,159424742
Peru,24038761,25914875,27610406,29373644
Philippines,69835713,77932247,86141373,93038902
Poland,38591860,38486305,38463514,38574682
Romania,22965125,22128139,21407619,20298838
Russia,148293265,146400951,143622566,143158099
Slovenia,1991487,1988652,1996522,2052480
South Africa,41426810,44896856,48352951,51621594
Spain,39764267,40749800,43854761,46601492
Sweden,8826720,8872284,9030163,9382297
Taiwan,21280333,22175667,22701000,23025000
Turkey,58522320,63240157,67860617,72310416
Ukraine,50811673,48746269,46795313,45647497
United States,266275528,282895741,296139635,309876170
Uruguay,3224807,3321242,3325608,3374414
