Country,1995,2000,2005,2010
Argentina,1.255317203,1.060771569,0.883899219,0.869608884
Australia,1.215475691,1.202191394,1.319789554,1.573312455
Belarus,-0.32319697,-0.299401402,-0.49875412,-0.178975676
Brazil,1.525090422,1.437317783,1.1429233,0.875786279
Chile,1.640979234,1.22843008,1.045315923,0.92723685
China,1.086509151,0.787956593,0.58812499,0.482916263
Colombia,1.814195612,1.677583862,1.533155614,1.39383392
Estonia,-1.785399536,-0.447259184,-0.236923417,-0.008207632
Georgia,-2.659709075,-0.771072946,0.988544256,0.947703289
Germany,0.293904444,0.1354316,-0.056778262,-0.153198447
India,1.895836065,1.687896609,1.507002837,1.387477694
Jordan,3.250354797,2.469000707,2.270807288,2.207078386
South Korea,1.429457257,0.835251852,0.205870499,0.462512996
Mexico,1.728708042,1.457052104,1.235763345,1.232784255
Morocco,1.515401613,1.218870162,1.026293999,0.996731804
Netherlands,0.493927373,0.714770363,0.233663148,0.512923101
New Zealand,1.464363787,0.587564086,1.12877351,1.197674273
Nigeria,2.356381278,2.375939495,2.479214349,2.515293021
Peru,1.789693812,1.49323591,1.155966758,1.076569835
Philippines,2.26696433,2.144653783,1.899631491,1.684377253
Poland,0.135721034,-0.535608109,-0.043948953,0.084050257
Romania,-0.202318796,-0.12944004,-0.233240465,-0.197584308
Russia,-0.131544793,-0.004100994,-0.487509848,0.007046471
Slovenia,0.0215615,0.29607496,0.173208905,0.436079485
South Africa,2.162209528,2.477053273,1.137194394,1.351627063
Spain,0.233979972,0.840384465,1.641238788,0.353072269
Sweden,0.524703942,0.160575485,0.399942763,0.852524629
Taiwan,0,0,0,0
Turkey,1.632866033,1.480778262,1.340343517,1.253297411
Ukraine,-0.790354088,-1.006597042,-0.732790732,-0.397285236
United States,1.190787016,1.112768997,0.921713167,0.836905133
Uruguay,0.717933424,0.365067434,0.120802956,0.347563187
